Head,Relation,Tail
IL-5,related_to,무엇인가
IL-5,related_to,IL2
IL-5,related_to,IL4
IL-5,related_to,IL5
IL-5,related_to,IL6
IL-5,related_to,IL10
피부묘기증,related_to,여성
피부묘기증,related_to,전신
피부묘기증,related_to,발생하
피부묘기증,has_symptom,홍반성
피부묘기증,has_symptom,팽진
피부묘기증,related_to,주소로
피부묘기증,related_to,내원하였다
피부묘기증,related_to,환자
피부묘기증,related_to,물리적
피부묘기증,related_to,자극
피부묘기증,has_symptom,가해진
피부묘기증,related_to,부위마
피부묘기증,has_symptom,팽진
피부묘기증,related_to,발생하며
피부묘기증,related_to,이러한
피부묘기증,has_symptom,증상
피부묘기증,related_to,30분
피부묘기증,related_to,이내
피부묘기증,related_to,소실된다고
피부묘기증,related_to,한다
피부묘기증,related_to,환자의
피부묘기증,has_symptom,진단
피부묘기증,related_to,가장
피부묘기증,related_to,적합한
피부묘기증,related_to,무엇인가
피부묘기증,related_to,수성
피부묘기증,related_to,두드러기
피부묘기증,related_to,aquagenic
피부묘기증,related_to,urticaria
피부묘기증,has_symptom,피부묘기증
피부묘기증,related_to,dermographism
피부묘기증,related_to,한랭
피부묘기증,related_to,두드러기
피부묘기증,related_to,cold
피부묘기증,related_to,urticaria
피부묘기증,related_to,접촉
피부묘기증,related_to,두드러기
피부묘기증,related_to,contact
피부묘기증,related_to,urticaria
피부묘기증,related_to,콜린성
피부묘기증,related_to,두드러기
피부묘기증,related_to,cholinergic
피부묘기증,related_to,urticaria
스테로이드 크림,related_to,여성
스테로이드 크림,related_to,최근
스테로이드 크림,related_to,표적
스테로이드 크림,related_to,항암
스테로이드 크림,related_to,치료
스테로이드 크림,related_to,시작한
스테로이드 크림,related_to,피부
스테로이드 크림,has_symptom,발진과
스테로이드 크림,has_symptom,가려움증
스테로이드 크림,related_to,경험
스테로이드 크림,related_to,있다
스테로이드 크림,related_to,이러한
스테로이드 크림,related_to,피부
스테로이드 크림,has_symptom,반응
스테로이드 크림,related_to,관리하기
스테로이드 크림,related_to,위한
스테로이드 크림,related_to,1차적
스테로이드 크림,related_to,중재로
스테로이드 크림,related_to,가장
스테로이드 크림,related_to,적절한
스테로이드 크림,related_to,무엇인가
스테로이드 크림,related_to,스테로이드
스테로이드 크림,related_to,크림
스테로이드 크림,related_to,항생제
스테로이드 크림,related_to,연고
스테로이드 크림,related_to,항히스타민제
스테로이드 크림,related_to,보습제
스테로이드 크림,related_to,항바이러스제
코르티코스테로이드,related_to,피부
코르티코스테로이드,has_symptom,사르코이도증의
코르티코스테로이드,related_to,치료
코르티코스테로이드,related_to,1차적
코르티코스테로이드,related_to,사용되
코르티코스테로이드,related_to,약물
코르티코스테로이드,related_to,무엇인가
코르티코스테로이드,related_to,아스피린
코르티코스테로이드,related_to,메토트렉세이트
코르티코스테로이드,related_to,코르티코스테로이드
코르티코스테로이드,related_to,아목시실린
코르티코스테로이드,related_to,하이드록시클로로퀸
피부섬유육종,related_to,남성
피부섬유육종,related_to,피부
피부섬유육종,related_to,발생한
피부섬유육종,has_symptom,구진
피부섬유육종,related_to,병원
피부섬유육종,related_to,내원하였다
피부섬유육종,related_to,병변
피부섬유육종,related_to,붉은색
피부섬유육종,related_to,띠고
피부섬유육종,related_to,있으며
피부섬유육종,related_to,이전
피부섬유육종,related_to,절제했으나
피부섬유육종,related_to,다시
피부섬유육종,related_to,재발하였다
피부섬유육종,related_to,병변
피부섬유육종,related_to,주로
피부섬유육종,has_symptom,몸통과
피부섬유육종,related_to,사지
피부섬유육종,related_to,발생하며
피부섬유육종,related_to,천천히
피부섬유육종,related_to,자라
피부섬유육종,related_to,경향
피부섬유육종,related_to,있다
피부섬유육종,related_to,가장
피부섬유육종,related_to,가능성
피부섬유육종,has_symptom,진단은
피부섬유육종,related_to,가피종
피부섬유육종,related_to,기저세포암
피부섬유육종,related_to,악성
피부섬유육종,related_to,흑색종
피부섬유육종,related_to,피부섬유육종
피부섬유육종,related_to,편평세포암
그리세오풀빈 6~8주,related_to,남자아이
그리세오풀빈 6~8주,related_to,두피
그리세오풀빈 6~8주,related_to,비늘
그리세오풀빈 6~8주,related_to,생기고
그리세오풀빈 6~8주,related_to,가려움
그리세오풀빈 6~8주,related_to,호소하여
그리세오풀빈 6~8주,related_to,병원
그리세오풀빈 6~8주,related_to,방문하였다
그리세오풀빈 6~8주,related_to,현미경
그리세오풀빈 6~8주,related_to,검사와
그리세오풀빈 6~8주,related_to,배양
그리세오풀빈 6~8주,related_to,결과
그리세오풀빈 6~8주,related_to,Trichophyton
그리세오풀빈 6~8주,related_to,의한
그리세오풀빈 6~8주,related_to,두부백선
그리세오풀빈 6~8주,has_symptom,진단되었다
그리세오풀빈 6~8주,related_to,아이의
그리세오풀빈 6~8주,related_to,치료
그리세오풀빈 6~8주,related_to,위해
그리세오풀빈 6~8주,related_to,가장
그리세오풀빈 6~8주,related_to,적절한
그리세오풀빈 6~8주,related_to,경구
그리세오풀빈 6~8주,has_symptom,항진균제
그리세오풀빈 6~8주,related_to,선택하시오
그리세오풀빈 6~8주,related_to,그리세오풀빈
그리세오풀빈 6~8주,related_to,테르비나핀
그리세오풀빈 6~8주,related_to,이트라코나졸
그리세오풀빈 6~8주,related_to,케토코나졸
그리세오풀빈 6~8주,related_to,경구
그리세오풀빈 6~8주,related_to,플루코나졸
두피에서 살아있는 머릿니 관찰,related_to,소녀
두피에서 살아있는 머릿니 관찰,related_to,두피
두피에서 살아있는 머릿니 관찰,has_symptom,가려움증과
두피에서 살아있는 머릿니 관찰,related_to,자국
두피에서 살아있는 머릿니 관찰,related_to,병원
두피에서 살아있는 머릿니 관찰,related_to,내원하였다
두피에서 살아있는 머릿니 관찰,related_to,병력
두피에서 살아있는 머릿니 관찰,related_to,청취
두피에서 살아있는 머릿니 관찰,related_to,결과
두피에서 살아있는 머릿니 관찰,related_to,최근
두피에서 살아있는 머릿니 관찰,related_to,학교
두피에서 살아있는 머릿니 관찰,related_to,머릿니
두피에서 살아있는 머릿니 관찰,related_to,유행
두피에서 살아있는 머릿니 관찰,related_to,있다
두피에서 살아있는 머릿니 관찰,related_to,보고
두피에서 살아있는 머릿니 관찰,related_to,있었다
두피에서 살아있는 머릿니 관찰,related_to,머릿니
두피에서 살아있는 머릿니 관찰,has_symptom,감염
두피에서 살아있는 머릿니 관찰,has_symptom,확진하기
두피에서 살아있는 머릿니 관찰,related_to,위한
두피에서 살아있는 머릿니 관찰,related_to,가장
두피에서 살아있는 머릿니 관찰,related_to,신뢰할
두피에서 살아있는 머릿니 관찰,related_to,방법
두피에서 살아있는 머릿니 관찰,related_to,무엇인가
두피에서 살아있는 머릿니 관찰,related_to,두피
두피에서 살아있는 머릿니 관찰,related_to,알니트
두피에서 살아있는 머릿니 관찰,related_to,관찰
두피에서 살아있는 머릿니 관찰,related_to,두피
두피에서 살아있는 머릿니 관찰,related_to,살아있
두피에서 살아있는 머릿니 관찰,related_to,머릿니
두피에서 살아있는 머릿니 관찰,related_to,관찰
두피에서 살아있는 머릿니 관찰,related_to,두피
두피에서 살아있는 머릿니 관찰,related_to,혈액
두피에서 살아있는 머릿니 관찰,related_to,배양
두피에서 살아있는 머릿니 관찰,related_to,검사
두피에서 살아있는 머릿니 관찰,related_to,두피
두피에서 살아있는 머릿니 관찰,related_to,피부
두피에서 살아있는 머릿니 관찰,related_to,조직
두피에서 살아있는 머릿니 관찰,related_to,검사
두피에서 살아있는 머릿니 관찰,related_to,두피
두피에서 살아있는 머릿니 관찰,related_to,알레르기
두피에서 살아있는 머릿니 관찰,related_to,피부
두피에서 살아있는 머릿니 관찰,related_to,검사
클로트리마졸,related_to,남성
클로트리마졸,related_to,발가락
클로트리마졸,related_to,사이의
클로트리마졸,has_symptom,가려움증과
클로트리마졸,related_to,피부
클로트리마졸,related_to,벗겨짐
클로트리마졸,related_to,병원
클로트리마졸,related_to,방문하였다
클로트리마졸,related_to,환자
클로트리마졸,related_to,최근
클로트리마졸,related_to,수영장
클로트리마졸,related_to,자주
클로트리마졸,related_to,방문했다고
클로트리마졸,related_to,한다
클로트리마졸,related_to,피부검사
클로트리마졸,related_to,곰팡
클로트리마졸,has_symptom,감염무좀
클로트리마졸,related_to,족부백선
클로트리마졸,related_to,확인되었다
클로트리마졸,related_to,다음
클로트리마졸,related_to,환자의
클로트리마졸,related_to,치료
클로트리마졸,related_to,가장
클로트리마졸,related_to,적합한
클로트리마졸,related_to,국소
클로트리마졸,has_symptom,항진균제는
클로트리마졸,related_to,히드로코르티손
클로트리마졸,related_to,클로트리마졸
클로트리마졸,related_to,아시클로버
클로트리마졸,related_to,네오마이신
클로트리마졸,related_to,이부프로펜
비소 중독,related_to,남성
비소 중독,related_to,피부
비소 중독,related_to,색깔
비소 중독,related_to,변화와
비소 중독,related_to,함께
비소 중독,related_to,손바닥과
비소 중독,related_to,발바닥
비소 중독,related_to,사마귀와
비소 중독,related_to,티눈
비소 중독,related_to,생겨
비소 중독,related_to,병원
비소 중독,related_to,내원하였다
비소 중독,related_to,환자
비소 중독,related_to,10년
비소 중독,related_to,동안
비소 중독,related_to,목재
비소 중독,related_to,보존제
비소 중독,related_to,취급하
비소 중독,related_to,직장
비소 중독,related_to,근무하였다고
비소 중독,related_to,한다
비소 중독,related_to,환자
비소 중독,related_to,가장
비소 중독,related_to,가능성
비소 중독,related_to,중독
비소 중독,related_to,원인
비소 중독,related_to,무엇인가
비소 중독,related_to,중독
비소 중독,related_to,중독
비소 중독,related_to,비소
비소 중독,related_to,중독
비소 중독,related_to,크롬
비소 중독,related_to,중독
비소 중독,related_to,카드뮴
비소 중독,related_to,중독
Kaposie-Stemmer 징후,related_to,림프부종
Kaposie-Stemmer 징후,related_to,환자
Kaposie-Stemmer 징후,related_to,발가락
Kaposie-Stemmer 징후,related_to,피부
Kaposie-Stemmer 징후,related_to,집어
Kaposie-Stemmer 징후,related_to,올릴
Kaposie-Stemmer 징후,related_to,특징적인
Kaposie-Stemmer 징후,related_to,징후
Kaposie-Stemmer 징후,related_to,무엇인가요
Kaposie-Stemmer 징후,related_to,KaposieStemmer
Kaposie-Stemmer 징후,related_to,징후
Kaposie-Stemmer 징후,related_to,오렌지색
Kaposie-Stemmer 징후,related_to,피부
Kaposie-Stemmer 징후,related_to,심부조직
Kaposie-Stemmer 징후,has_symptom,감염
Kaposie-Stemmer 징후,related_to,혈관육종
Kaposie-Stemmer 징후,related_to,과색소침착
이동성 홍반성 반점,related_to,Erythrokeratodermia
이동성 홍반성 반점,related_to,variabilis
이동성 홍반성 반점,related_to,et
이동성 홍반성 반점,related_to,progressiva
이동성 홍반성 반점,related_to,EKVP의
이동성 홍반성 반점,has_symptom,증상
이동성 홍반성 반점,related_to,무엇인가요
이동성 홍반성 반점,related_to,비대칭적인
이동성 홍반성 반점,related_to,피부
이동성 홍반성 반점,has_symptom,발진
이동성 홍반성 반점,related_to,이동성
이동성 홍반성 반점,has_symptom,홍반성
이동성 홍반성 반점,has_symptom,반점
이동성 홍반성 반점,related_to,비늘
이동성 홍반성 반점,related_to,모양의
이동성 홍반성 반점,has_symptom,반점
이동성 홍반성 반점,related_to,대칭적인
이동성 홍반성 반점,has_symptom,과각화증
이동성 홍반성 반점,related_to,지속적인
이동성 홍반성 반점,has_symptom,가려움증
주입 필러,related_to,여드름
주입 필러,related_to,흉터
주입 필러,related_to,치료
주입 필러,related_to,관한
주입 필러,related_to,연구에서
주입 필러,related_to,위약
주입 필러,related_to,대비
주입 필러,has_symptom,통계적
주입 필러,related_to,유의미한
주입 필러,related_to,흉터
주입 필러,related_to,개선
주입 필러,related_to,효과
주입 필러,related_to,보여준
주입 필러,related_to,치료법
주입 필러,related_to,무엇인가요
주입 필러,related_to,화학적
주입 필러,related_to,박피술
주입 필러,related_to,피부
주입 필러,related_to,바늘
주입 필러,related_to,요법
주입 필러,related_to,분수
주입 필러,related_to,레이저
주입 필러,related_to,주입
주입 필러,related_to,필러
주입 필러,related_to,비분수
주입 필러,related_to,비박리
주입 필러,related_to,레이저
안검하수,related_to,여성
안검하수,related_to,얼굴
안검하수,related_to,주름
안검하수,related_to,치료
안검하수,related_to,위해
안검하수,related_to,병원
안검하수,related_to,방문하였다
안검하수,related_to,최근
안검하수,related_to,보툴리눔
안검하수,related_to,독소
안검하수,related_to,A형
안검하수,related_to,주사
안검하수,related_to,대한
안검하수,related_to,정보
안검하수,related_to,고려
안검하수,related_to,중이다
안검하수,related_to,환자
안검하수,related_to,주름
안검하수,related_to,가장
안검하수,related_to,신경
안검하수,related_to,쓰이며
안검하수,related_to,이전
안검하수,related_to,필러
안검하수,related_to,치료
안검하수,related_to,없다
안검하수,related_to,보툴리눔
안검하수,related_to,독소
안검하수,related_to,A형
안검하수,related_to,주사
안검하수,related_to,발생할
안검하수,related_to,가장
안검하수,related_to,흔한
안검하수,related_to,국소적인
안검하수,related_to,부작용
안검하수,related_to,무엇인가
안검하수,related_to,피부
안검하수,has_symptom,발진
안검하수,related_to,탈모
안검하수,related_to,안검하수
안검하수,related_to,피부
안검하수,related_to,색소
안검하수,related_to,침착
안검하수,related_to,메스꺼움
위장관 장애와 홍조,related_to,남자
위장관 장애와 홍조,related_to,만성적인
위장관 장애와 홍조,related_to,피부
위장관 장애와 홍조,has_symptom,질환
위장관 장애와 홍조,related_to,피부과
위장관 장애와 홍조,related_to,방문하였다
위장관 장애와 홍조,related_to,의사
위장관 장애와 홍조,related_to,그에게
위장관 장애와 홍조,related_to,만성
위장관 장애와 홍조,related_to,피부
위장관 장애와 홍조,has_symptom,질환
위장관 장애와 홍조,related_to,치료제로
위장관 장애와 홍조,has_symptom,알려진
위장관 장애와 홍조,related_to,약물
위장관 장애와 홍조,related_to,처방할
위장관 장애와 홍조,related_to,고려
위장관 장애와 홍조,related_to,있다
위장관 장애와 홍조,related_to,약물의
위장관 장애와 홍조,related_to,가장
위장관 장애와 홍조,related_to,흔한
위장관 장애와 홍조,related_to,부작용
위장관 장애와 홍조,related_to,무엇인가
위장관 장애와 홍조,has_symptom,손상
위장관 장애와 홍조,related_to,고혈압
위장관 장애와 홍조,related_to,위장관
위장관 장애와 홍조,related_to,장애와
위장관 장애와 홍조,related_to,홍조
위장관 장애와 홍조,related_to,신장
위장관 장애와 홍조,related_to,기능
위장관 장애와 홍조,related_to,저하
위장관 장애와 홍조,related_to,혈당
위장관 장애와 홍조,has_symptom,상승
세균,related_to,여성
세균,related_to,최근
세균,related_to,피부
세균,has_symptom,발진과
세균,has_symptom,가려움증
세균,related_to,호소하며
세균,related_to,병원
세균,related_to,방문하였다
세균,related_to,환자
세균,related_to,당뇨병
세균,related_to,앓고
세균,related_to,있으며
세균,related_to,최근
세균,related_to,면역
세균,related_to,억제제
세균,related_to,복용
세균,related_to,중이다
세균,related_to,신체검사
세균,has_symptom,발진
세균,related_to,부위
세균,related_to,붉고
세균,related_to,부풀어
세균,related_to,있으며
세균,related_to,관찰되었다
세균,related_to,환자의
세균,related_to,피부
세균,has_symptom,감염
세균,related_to,가장
세균,related_to,설명할
세균,related_to,원인균
세균,related_to,무엇인가
세균,related_to,바이러스
세균,related_to,세균
세균,related_to,곰팡
세균,related_to,기생충
세균,related_to,알레르기
지방 조직에 통증을 동반하는 질환이다.,related_to,다음
지방 조직에 통증을 동반하는 질환이다.,related_to,아디포시스
지방 조직에 통증을 동반하는 질환이다.,related_to,돌로로사Adiposis
지방 조직에 통증을 동반하는 질환이다.,related_to,dolorosa
지방 조직에 통증을 동반하는 질환이다.,related_to,대한
지방 조직에 통증을 동반하는 질환이다.,related_to,설명
지방 조직에 통증을 동반하는 질환이다.,related_to,올바른
지방 조직에 통증을 동반하는 질환이다.,related_to,것은
지방 조직에 통증을 동반하는 질환이다.,related_to,주로
지방 조직에 통증을 동반하는 질환이다.,related_to,남성에게
지방 조직에 통증을 동반하는 질환이다.,related_to,발생한다
지방 조직에 통증을 동반하는 질환이다.,related_to,유전적
지방 조직에 통증을 동반하는 질환이다.,related_to,요인
지방 조직에 통증을 동반하는 질환이다.,related_to,명확히
지방 조직에 통증을 동반하는 질환이다.,related_to,밝혀져
지방 조직에 통증을 동반하는 질환이다.,related_to,있다
지방 조직에 통증을 동반하는 질환이다.,related_to,지방
지방 조직에 통증을 동반하는 질환이다.,related_to,조직
지방 조직에 통증을 동반하는 질환이다.,has_symptom,통증
지방 조직에 통증을 동반하는 질환이다.,has_symptom,동반하
지방 조직에 통증을 동반하는 질환이다.,has_symptom,질환이다
지방 조직에 통증을 동반하는 질환이다.,related_to,비만
지방 조직에 통증을 동반하는 질환이다.,related_to,과체중인
지방 조직에 통증을 동반하는 질환이다.,related_to,여성에게
지방 조직에 통증을 동반하는 질환이다.,related_to,주로
지방 조직에 통증을 동반하는 질환이다.,related_to,발생한다
지방 조직에 통증을 동반하는 질환이다.,related_to,소아
지방 조직에 통증을 동반하는 질환이다.,related_to,주로
지방 조직에 통증을 동반하는 질환이다.,related_to,발생한다
메트로니다졸보다 더 적은 금속 맛,related_to,메트로니다졸과
메트로니다졸보다 더 적은 금속 맛,related_to,비교하여
메트로니다졸보다 더 적은 금속 맛,related_to,클린다마이신
메트로니다졸보다 더 적은 금속 맛,related_to,크림
메트로니다졸보다 더 적은 금속 맛,related_to,사용
메트로니다졸보다 더 적은 금속 맛,related_to,나타날
메트로니다졸보다 더 적은 금속 맛,related_to,추가적인
메트로니다졸보다 더 적은 금속 맛,related_to,이점
메트로니다졸보다 더 적은 금속 맛,related_to,무엇인가
메트로니다졸보다 더 적은 금속 맛,related_to,메트로니다졸보
메트로니다졸보다 더 적은 금속 맛,related_to,실패율
메트로니다졸보다 더 적은 금속 맛,related_to,메트로니다졸보
메트로니다졸보다 더 적은 금속 맛,related_to,비용
메트로니다졸보다 더 적은 금속 맛,related_to,메트로니다졸보
메트로니다졸보다 더 적은 금속 맛,related_to,금속
메트로니다졸보다 더 적은 금속 맛,related_to,메트로니다졸보
메트로니다졸보다 더 적은 금속 맛,related_to,치료
메트로니다졸보다 더 적은 금속 맛,related_to,순응도
메트로니다졸보다 더 적은 금속 맛,related_to,메트로니다졸보
메트로니다졸보다 더 적은 금속 맛,related_to,치료
메트로니다졸보다 더 적은 금속 맛,related_to,기간
PUVA 광 치료,related_to,피부
PUVA 광 치료,related_to,T세포
PUVA 광 치료,related_to,림프종의
PUVA 광 치료,related_to,가장
PUVA 광 치료,related_to,흔한
PUVA 광 치료,related_to,형태인
PUVA 광 치료,has_symptom,균상식육종Mycosis
PUVA 광 치료,related_to,Fungoides
PUVA 광 치료,related_to,MF의
PUVA 광 치료,related_to,초기
PUVA 광 치료,related_to,국소
PUVA 광 치료,related_to,병변stage
PUVA 광 치료,related_to,IAIIA
PUVA 광 치료,related_to,대해
PUVA 광 치료,has_symptom,일반적
PUVA 광 치료,related_to,권장되
PUVA 광 치료,related_to,1차
PUVA 광 치료,related_to,치료
PUVA 광 치료,related_to,방법
PUVA 광 치료,related_to,무엇인가
PUVA 광 치료,related_to,국소
PUVA 광 치료,related_to,스테로이드
PUVA 광 치료,related_to,치료
PUVA 광 치료,related_to,가시광선
PUVA 광 치료,related_to,치료
PUVA 광 치료,related_to,PUVA
PUVA 광 치료,related_to,치료
PUVA 광 치료,related_to,전신
PUVA 광 치료,related_to,화학요법
PUVA 광 치료,related_to,인터페론α
PUVA 광 치료,related_to,주사
국소 스테로이드 크림,related_to,남자
국소 스테로이드 크림,related_to,손목과
국소 스테로이드 크림,has_symptom,가려움증과
국소 스테로이드 크림,has_symptom,발진
국소 스테로이드 크림,related_to,주소로
국소 스테로이드 크림,related_to,내원하였다
국소 스테로이드 크림,related_to,최근
국소 스테로이드 크림,related_to,새로운
국소 스테로이드 크림,related_to,화장품
국소 스테로이드 크림,related_to,사용하기
국소 스테로이드 크림,related_to,시작한
국소 스테로이드 크림,has_symptom,증상
국소 스테로이드 크림,related_to,발생하였다
국소 스테로이드 크림,has_symptom,발진
국소 스테로이드 크림,related_to,부위
국소 스테로이드 크림,related_to,붉고
국소 스테로이드 크림,related_to,융기
국소 스테로이드 크림,related_to,있으며
국소 스테로이드 크림,related_to,흔적
국소 스테로이드 크림,related_to,있다
국소 스테로이드 크림,related_to,환자의
국소 스테로이드 크림,has_symptom,증상
국소 스테로이드 크림,related_to,가장
국소 스테로이드 크림,related_to,적절한
국소 스테로이드 크림,related_to,치료법
국소 스테로이드 크림,related_to,무엇인가
국소 스테로이드 크림,related_to,국소
국소 스테로이드 크림,related_to,스테로이드
국소 스테로이드 크림,related_to,크림
국소 스테로이드 크림,related_to,항히스타민제
국소 스테로이드 크림,related_to,복용
국소 스테로이드 크림,related_to,항생제
국소 스테로이드 크림,related_to,복용
국소 스테로이드 크림,related_to,항바이러스제
국소 스테로이드 크림,related_to,복용
국소 스테로이드 크림,has_symptom,항진균제
국소 스테로이드 크림,related_to,사용
모낭염 탈모증,related_to,흉터
모낭염 탈모증,has_symptom,동반한
모낭염 탈모증,related_to,비가역적인
모낭염 탈모증,related_to,패치성
모낭염 탈모증,related_to,탈모
모낭염 탈모증,related_to,보이
모낭염 탈모증,related_to,환자
모낭염 탈모증,related_to,내원하였다
모낭염 탈모증,has_symptom,상태의
모낭염 탈모증,related_to,가장
모낭염 탈모증,related_to,가능성
모낭염 탈모증,related_to,원인
모낭염 탈모증,related_to,무엇인가
구주위피부염,related_to,여성
구주위피부염,related_to,얼굴
구주위피부염,related_to,주위
구주위피부염,has_symptom,구진
구주위피부염,related_to,발생하여
구주위피부염,related_to,피부과
구주위피부염,related_to,내원하였다
구주위피부염,related_to,환자
구주위피부염,related_to,최근
구주위피부염,related_to,플루오린화된
구주위피부염,related_to,국소
구주위피부염,related_to,스테로이드
구주위피부염,related_to,사용한
구주위피부염,related_to,병력
구주위피부염,related_to,있다
구주위피부염,related_to,환자의
구주위피부염,related_to,가장
구주위피부염,related_to,가능성
구주위피부염,has_symptom,진단
구주위피부염,related_to,무엇인가
광선구순염,related_to,남성
광선구순염,related_to,입술의
광선구순염,related_to,경계
광선구순염,related_to,흐려지고
광선구순염,related_to,흰색
광선구순염,related_to,변색되
광선구순염,has_symptom,증상
광선구순염,related_to,보여
광선구순염,related_to,병원
광선구순염,related_to,방문했다
광선구순염,related_to,과거
광선구순염,related_to,야외
광선구순염,related_to,활동
광선구순염,related_to,하였으며
광선구순염,related_to,흡연
광선구순염,related_to,있다
광선구순염,related_to,환자의
광선구순염,has_symptom,증상과
광선구순염,related_to,병력
광선구순염,related_to,가장
광선구순염,related_to,가능성
광선구순염,has_symptom,진단
광선구순염,related_to,무엇인가
머릿니,related_to,여아
머릿니,related_to,두피
머릿니,has_symptom,가려움증
머릿니,related_to,호소하며
머릿니,related_to,병원
머릿니,related_to,내원하였다
머릿니,has_symptom,진찰
머릿니,related_to,결과
머릿니,related_to,머리카락
머릿니,related_to,비듬처럼
머릿니,related_to,보이
머릿니,related_to,알들
머릿니,related_to,관찰되었으며
머릿니,related_to,두피
머릿니,related_to,단단히
머릿니,related_to,붙어
머릿니,related_to,있었다
머릿니,related_to,환자의
머릿니,has_symptom,증상
머릿니,related_to,유발한
머릿니,related_to,가장
머릿니,related_to,가능성
머릿니,related_to,원인
머릿니,related_to,병원체
머릿니,related_to,무엇인가
여드름양 발진,related_to,여성
여드름양 발진,related_to,최근
여드름양 발진,related_to,새로운
여드름양 발진,related_to,스킨케어
여드름양 발진,related_to,제품
여드름양 발진,related_to,사용한
여드름양 발진,related_to,이마와
여드름양 발진,has_symptom,구진과
여드름양 발진,related_to,농포
여드름양 발진,related_to,발생하여
여드름양 발진,related_to,피부과
여드름양 발진,related_to,내원하였다
여드름양 발진,related_to,병변
여드름양 발진,has_symptom,염증성
여드름양 발진,related_to,소견
여드름양 발진,related_to,보이며
여드름양 발진,related_to,다른
여드름양 발진,related_to,전신
여드름양 발진,has_symptom,증상
여드름양 발진,related_to,없다
